rank,track_name,artist,popularity,streams,danceability,energy,tempo,valence,tempo_norm
31,Temperature,Sean Paul,84,4251298,0.6077952065324724,0.6170492168243732,92.08805824080962,0.6751334695530014,0.08400425938892214
32,Mia & Sebastian’s Theme,Justin Hurwitz,71,4196340,0.9022733821410726,0.703566885726762,121.23413354650849,0.37856848871674353,0.45352080001772194
33,LoveGame,Lady Gaga,76,4031756,0.678380333031448,0.8716841067112274,100.87853315293012,0.3358215003877776,0.1954506838540336
34,Tumblr Girls (feat. Christoph Andersson),G-Eazy,79,3715514,0.553074688525292,0.5722594672589529,128.52466375143328,0.6464944830486371,0.5459507917890956
35,33 Max Verstappen,Carte Blanq,69,3658571,0.7787053894523828,0.5287259595660219,103.45036378379154,0.5053074429348299,0.22805658182937033
36,Jo Tum Mere Ho,Anuv Jain,84,3573619,0.5334987620034773,0.5747364434623196,147.8988192903157,0.6928000988184184,0.7915780626049485
37,八方來財(Stacks from All Sides),攬佬SKAI ISYOURGOD,77,3453752,0.7050636314005707,0.7873103176553111,105.90144073794774,0.644647524914709,0.2591315539281928
38,My Man on Willpower,Sabrina Carpenter,80,3332517,0.444839585134427,0.6993126664489527,114.20289270829784,0.5354342174686255,0.36437810194902076
39,Tears,Sabrina Carpenter,89,2722320,0.5206176741321884,0.5705359694349442,134.64330991265405,0.38064125638631907,0.623523533199803
40,ANYTHING BUT LOVE,Tate McRae,84,2534026,0.7036233483042948,0.7269901149670034,97.8444423041888,0.24703055506282712,0.15698420963336301
41,poster boy,2hollis,82,2353038,0.7686159895994493,0.6645616324022061,124.09427882287433,0.4606970095865958,0.4897819767673703
42,Deslocado,NAPA,77,2323483,0.7005641937427965,0.7952967485799334,143.52856957708372,0.7212797588646945,0.736171647203224
43,Kissin My Friends,Marshmello,64,2186887,0.6661222061134112,0.5446920359183972,91.0653017778979,0.5928187488260408,0.07103766178986257
44,MONEY ON THE DASH,Elley Duhé,53,2087341,0.6438675565292854,0.6008506780103348,123.32340945358148,0.30085224425760243,0.4800088261928878
45,Colors - Ian Asher Remix,Halsey,62,1843523,0.5025773611559088,0.5911837770301764,124.67789029647162,0.5846361851702364,0.4971810550491992
46,3 Strikes,Terror Jr,71,1550222,0.593618694992635,0.43047275778018224,134.07281169199157,0.6270634759457674,0.616290705907517
47,"Malang (Title Track) [From ""Malang - Unleash The Madness""]",Ved Sharma,65,1481680,0.6247233474848255,0.6944180415596864,97.73488720419452,0.3732285127597734,0.15559526031056298
48,HOES DEPRESSED,THOT SQUAD,74,1327359,0.80685466714627,0.6891582908269834,96.23178096448302,0.5807450211891056,0.13653874542579028
49,Mauja Hi Mauja,Pritam,68,1317537,0.7212341947482154,0.6507670184963692,129.39494818110416,0.5616417436892001,0.5569843353603019
50,São Paulo (feat. Anitta),The Weeknd,86,1092193,0.468435181356472,0.614811929993728,125.34572411819735,0.3214059404338754,0.5056479117676662
